,NAME,POPULATION,MALE,FEMALE
404,Rajsamand,183820.0,94379.0,89441.0
405,Imphal East,183207.0,89305.0,93902.0
406,Siwan,182913.0,95405.0,87508.0
407,Baramula,182500.0,102334.0,80166.0
408,Datia,181982.0,96191.0,85791.0
409,Barmer,181837.0,95773.0,86064.0
410,Fatehabad,179588.0,94546.0,85042.0
411,Hingoli,178733.0,91864.0,86869.0
412,Rupnagar,177807.0,93396.0,84411.0
413,Lalitpur,175378.0,91533.0,83845.0
414,Chamarajanagar,174974.0,87347.0,87627.0
415,Sonitpur,173845.0,88919.0,84926.0
416,Kanpur Dehat,173423.0,91747.0,81676.0
417,Araria,168777.0,89079.0,79698.0
418,Kushinagar,168107.0,87678.0,80429.0
419,Balrampur,166391.0,86778.0,79613.0
420,Buxar,164499.0,86891.0,77608.0
421,Seoni,163890.0,83565.0,80325.0
422,Mansa,163604.0,86548.0,77056.0
423,Gopalganj,162805.0,82699.0,80106.0
424,Madhubani,161495.0,85026.0,76469.0
425,Kishanganj,161123.0,83652.0,77471.0
426,Siddharthnagar,160691.0,82954.0,77737.0
427,Dadra & Nagar Haveli,160595.0,95455.0,65140.0
428,Sahibganj,159666.0,83499.0,76167.0
429,Daman,158860.0,106292.0,52568.0
430,Saharsa,156540.0,83291.0,73249.0
431,Ashoknagar,153684.0,80426.0,73258.0
432,Jalor,151755.0,79015.0,72740.0
433,Thoubal,151333.0,75375.0,75958.0
434,Bargarh,150110.0,76558.0,73552.0
435,Dhamtari ,149195.0,74477.0,74718.0
436,Samastipur,147797.0,77730.0,70067.0
437,Barpeta,147353.0,75215.0,72138.0
438,Rayagada  ,146966.0,74186.0,72780.0
439,Jamui,145333.0,76288.0,69045.0
440,Lakhisarai,143011.0,75482.0,67529.0
441,Kamrup,142394.0,72321.0,70073.0
442,New Delhi,142004.0,77942.0,64062.0
443,Tarn Taran,141795.0,75047.0,66748.0
444,Kodarma,141246.0,73627.0,67619.0
445,South Andaman,140747.0,75180.0,65567.0
446,Basti,138097.0,72426.0,65671.0
447,Goalpara,138062.0,70048.0,68014.0
448,Jehanabad ,135196.0,71428.0,63768.0
449,Jajapur  ,135097.0,69495.0,65602.0
450,Mahrajganj,134730.0,69628.0,65102.0
451,Mahendragarh,132855.0,70307.0,62548.0
452,Pathanamthitta,131613.0,61896.0,69717.0
453,Mandla,130189.0,66121.0,64068.0
454,Sant Kabir Nagar,128531.0,67047.0,61484.0
455,Banswara,127621.0,64987.0,62634.0
456,Shahid Bhagat Singh Nagar ,125416.0,65173.0,60243.0
457,Panna,125335.0,66007.0,59328.0
458,Kaushambi,124456.0,65150.0,59306.0
459,Mewat ,124106.0,65076.0,59030.0
460,South Tripura ,123031.0,62757.0,60274.0
461,East District,122487.0,64285.0,58202.0
462,Kalahandi,121987.0,62455.0,59532.0
463,Kohima,121088.0,62597.0,58491.0
464,North Tripura,120285.0,60967.0,59318.0
465,Mahasamund,120152.0,60276.0,59876.0
466,Harda ,119364.0,61526.0,57838.0
467,Gadchiroli,118033.0,60038.0,57995.0
468,Dhenkanal,117506.0,61267.0,56239.0
469,Jagatsinghapur ,115980.0,61052.0,54928.0
470,Karbi Anglong,112966.0,58243.0,54723.0
471,Garhwal,112703.0,58800.0,53903.0
472,Umaria,110544.0,57610.0,52934.0
473,Sivasagar,110096.0,57930.0,52166.0
474,Bongaigaon,109810.0,56032.0,53778.0
475,Karimganj,109700.0,55354.0,54346.0
476,Sheikhpura,109002.0,57383.0,51619.0
477,Udhampur,108208.0,63810.0,44398.0
478,Sheopur ,107352.0,56424.0,50928.0
479,Sindhudurg,107006.0,54064.0,52942.0
480,Supaul,105558.0,55788.0,49770.0
481,Kupwara,104729.0,62152.0,42577.0
482,Solan,102147.0,59018.0,43129.0
483,Karaikal,98102.0,47671.0,50431.0
484,Badgam,97912.0,54656.0,43256.0
485,Golaghat,97736.0,50036.0,47700.0
486,Perambalur  ,97163.0,48231.0,48932.0
487,Papum Pare,96963.0,49247.0,47716.0
488,Chitrakoot,96332.0,50927.0,45405.0
489,Dakshin Bastar Dantewada,96233.0,50212.0,46021.0
490,Sidhi,93121.0,48534.0,44587.0
491,Jhabua,91983.0,47555.0,44428.0
492,Lakhimpur,91333.0,47092.0,44241.0
493,Dumka,90178.0,47586.0,42592.0
494,Kathua,89713.0,47983.0,41730.0
495,Jaisalmer,89025.0,49261.0,39764.0
496,Dungarpur,88743.0,45486.0,43257.0
497,Madhepura,88461.0,46799.0,41662.0
498,Nabarangapur ,87625.0,44041.0,43584.0
499,Bishnupur,87505.0,43611.0,43894.0
500,Kabeerdham,87395.0,44117.0,43278.0
501,Khagaria,87159.0,46505.0,40654.0
502,Kangra,86281.0,45226.0,41055.0
503,Ariyalur  ,83794.0,41450.0,42344.0
504,Kendrapara ,83534.0,42761.0,40773.0
505,Nalbari,82730.0,42329.0,40401.0
506,Kodagu,80988.0,40447.0,40541.0
507,Kulgam,80613.0,42046.0,38567.0
508,Pulwama,80462.0,44968.0,35494.0
509,Nayagarh  ,79738.0,41617.0,38121.0
510,Tapi,79487.0,40640.0,38847.0
511,Uttar Bastar Kanker,76761.0,38189.0,38572.0
512,Jashpur ,75992.0,38440.0,37552.0
513,Jamtara,75746.0,39787.0,35959.0
514,West Garo Hills,74858.0,37236.0,37622.0
515,Morigaon,73298.0,37528.0,35770.0
516,Kandhamal,72279.0,36422.0,35857.0
517,Pratapgarh,71807.0,36573.0,35234.0
518,Banka,71313.0,38043.0,33270.0
519,Gajapati,70666.0,35227.0,35439.0
520,Tehri Garhwal,70139.0,38605.0,31534.0
521,Garhwa ,69670.0,36628.0,33042.0
522,Pithoragarh,69605.0,36376.0,33229.0
523,Lunglei,68752.0,35314.0,33438.0
524,Pakur,67512.0,34410.0,33102.0
525,Kaimur (Bhabua),65571.0,34708.0,30863.0
526,Bandipore,65361.0,35417.0,29944.0
527,Gumla,65081.0,33255.0,31826.0
528,Godda,64419.0,34020.0,30399.0
529,Chatra,62954.0,33724.0,29230.0
530,Mandi,62637.0,32015.0,30622.0
531,Dima Hasao,62489.0,32985.0,29504.0
532,Almora,62314.0,33722.0,28592.0
533,Narmada,61872.0,31678.0,30194.0
534,Chamoli,59396.0,33622.0,25774.0
535,Lohardaga,57411.0,29374.0,28037.0
536,Sirmaur,57165.0,30114.0,27051.0
