,NAME,POPULATION
17,LAKSHADWEEP,50332.0
335,Lakshadweep,50332.0
114,Subarnapur,49941.0
307,Malkangiri  ,49528.0
569,Champhai,48529.0
523,Dhemaji,48285.0
459,Hailakandi,48140.0
484,Ganderbal,47039.0
358,Kolasib,46878.0
330,Leh(Ladakh),45671.0
369,Khunti,44982.0
73,Una,44913.0
505,East Garo Hills,44192.0
46,West Khasi Hills,43105.0
141,Simdega,42944.0
315,Mahe,41816.0
344,Kullu,41391.0
530,Dhalai,40499.0
146,Shrawasti,38649.0
216,Punch,38630.0
570,Champawat,38343.0
80,Udalguri,37574.0
83,Tuensang,36774.0
572,Chamba,36108.0
557,Chirang,35337.0
43,Wokha,35004.0
291,Mon,34444.0
247,Nuapada,34054.0
512,Doda,32689.0
328,Lohit,32430.0
514,Dindori ,32318.0
157,Serchhip,32019.0
52,Wayanad,31580.0
458,Hamirpur,31430.0
589,Bijapur,29600.0
437,Jaintia Hills,28430.0
151,Sheohar,28116.0
501,East Siang,27635.0
37,Zunheboto,27597.0
75,Ukhrul,27187.0
188,Reasi,26996.0
185,Ribhoi,25253.0
586,Bilaspur,25129.0
174,Saiha,25110.0
45,West Siang,24968.0
100,The Dangs,24687.0
225,Phek,24575.0
66,Uttarkashi,24305.0
513,Diu,23991.0
535,Debagarh,22390.0
266,Narayanpur,22106.0
123,South District,21199.0
331,Lawngtlai,20830.0
89,Tirap,20810.0
607,Baudh,20424.0
107,Tamenglong ,19363.0
564,Changlang,19228.0
552,Churachandpur,18357.0
503,East Kameng,18350.0
567,Chandel,16847.0
367,Kiphire,16487.0
145,Shupiyan,16360.0
388,Kargil,16338.0
47,West Kameng,15932.0
306,Mamit,14899.0
365,Kishtwar,14865.0
226,Peren,13790.0
70,Upper Subansiri,13405.0
122,South Garo Hills,13131.0
325,Lower Subansiri,12806.0
634,Baksa,12242.0
196,Ramban,11811.0
326,Lower Dibang Valley,11389.0
104,Tawang,11202.0
182,Rudraprayag,9925.0
637,Bageshwar,9079.0
327,Longleng,7613.0
159,Senapati,7476.0
71,Upper Siang,6540.0
50,West District,5248.0
253,North  District,4644.0
254,North  & Middle Andaman,2741.0
519,Dibang Valley,2384.0
340,Kurung Kumey,2345.0
649,Anjaw,982.0
338,Lahul & Spiti,0.0
368,Kinnaur,0.0
257,Nicobars,0.0
34,TELANGANA,0.0
